"";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS"
"1";1004;"155-1";1;100;719;1588;"P";73;FALSE;1;"FGz"
"2";32700;"155-1";1;100;499;1833;"P";86;FALSE;1;"FGz"
"3";40008;"185-2";1;100;594;1485;"P";78;TRUE;1;"FGz"
"4";40009;"185-2";1;100;594;1675;"P";78;FALSE;1;"FGz"
"5";40025;"145-2";1;100;538;1680;"P";75;FALSE;1;"FGz"
"6";40085;"185-2";1;100;619;1485;"P";75;FALSE;1;"FGz"
"7";40100;"189-2";1;100;539;1486;"P";69;TRUE;1;"FGz"
"8";40101;"189-2";1;100;569;1486;"P";69;FALSE;1;"FGz"
"9";40104;"189-2";1;100;539;1486;"P";69;TRUE;1;"FGz"
"10";40105;"189-2";1;100;569;1486;"P";69;FALSE;1;"FGz"
"11";40106;"189-2";1;100;569;1486;"P";69;TRUE;1;"FGz"
"12";40126;"185-2";1;100;579;1465;"P";70;TRUE;1;"FGz"
"13";40144;"185-2";1;100;534;1485;"P";75;TRUE;1;"FGz"
"14";40184;"185-2";1;100;569;1465;"P";75;TRUE;1;"FGz"
"15";40200;"189-2";1;100;594;1486;"P";70;TRUE;1;"FGz"
"16";40234;"185-2";1;100;619;1465;"P";75;TRUE;1;"GzG"
"17";40235;"185-2";1;100;619;1885;"G";68;TRUE;1;"GzG"
"18";40241;"Re 482-2";1;100;614;1684;"P";70;TRUE;1;"FGz"
"19";40245;"Re 482-2";1;100;614;1684;"P";70;FALSE;1;"FGz"
"20";40247;"Re 482-2";1;100;594;1684;"P";70;TRUE;1;"FGz"
"21";40252;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz"
"22";40260;"Re 482-2";1;100;529;1484;"P";70;TRUE;1;"Gz"
"23";40261;"Re 482-2";1;100;529;1684;"P";70;TRUE;1;"FGz"
"24";40276;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz"
"25";40290;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz"
"26";40291;"Re 482-2";1;100;594;1684;"P";70;TRUE;1;"FGz"
"27";40421;"4370-1";1;100;619;1490;"P";80;TRUE;1;"FGz"
"28";40424;"4370-1";1;100;619;1490;"P";80;FALSE;1;"FGz"
"29";40559;"151-1";1;100;559;1678;"P";75;FALSE;1;"FGz"
"30";41051;"185-2";1;100;569;1685;"P";70;FALSE;1;"FGz"
"31";41052;"185-2";1;100;569;1485;"P";70;TRUE;1;"FGz"
"32";41082;"189-2";1;100;570;1466;"P";78;TRUE;1;"FGz"
"33";41238;"4370-1";1;100;419;690;"P";109;FALSE;1;"NGz"
"34";41600;"145-2";1;100;573;1380;"P";71;FALSE;1;"FGz"
"35";41603;"145-2";1;100;574;1680;"P";70;FALSE;1;"FGz"
"36";41665;"185-2";1;100;619;1885;"G";68;TRUE;1;"GzG"
"37";41666;"185-2";1;100;619;1465;"P";75;TRUE;1;"FGz"
"38";41748;"189-2";1;90;629;1886;"G";69;FALSE;1;"GzG"
"39";41780;"185-2";1;100;669;1785;"G";86;TRUE;1;"GzG"
"40";42006;"145-2";1;100;593;1380;"P";70;FALSE;1;"FGz"
"41";42014;"189-2";1;100;574;1486;"P";85;TRUE;1;"FGz"
