"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;78;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"NGz";484,035282184807;513,303328065236;1,06046676132434;"G12"
2;81;"185-2";2;100;588;1470;"P";76;TRUE;1;"FGz";439,753032636525;513,303328065236;1,16725364004369;"G12"
3;82;"185-2";1;100;419;1465;"P";68;TRUE;1;"NGz";486,935680191978;513,303328065236;1,05415016591691;"G12"
4;40008;"185-2";1;100;594;1485;"P";78;TRUE;1;"FGz";488,371856631382;513,303328065236;1,05105018050348;"G12"
5;40009;"185-2";1;100;594;1675;"P";78;FALSE;1;"FGz";502,506316794503;513,303328065236;1,02148631949466;"G12"
6;40016;"145-2";1;100;538;1380;"P";70;TRUE;1;"FGz";491,490930467792;513,303328065236;1,04438006124891;"G12"
7;40025;"145-2";1;100;538;1680;"P";75;TRUE;1;"FGz";520,48741575077;659,847857745824;1,26774987786023;"s90"
8;40085;"185-2";1;100;619;1485;"P";75;TRUE;1;"FGz";488,371856631382;513,303328065236;1,05105018050348;"G12"
9;40086;"185-2";1;100;569;1465;"P";75;TRUE;1;"FGz";486,935680191978;513,303328065236;1,05415016591691;"G12"
10;40100;"189-2";1;100;539;1486;"P";69;TRUE;1;"FGz";484,324566212344;513,303328065236;1,05983335117506;"G12"
11;40101;"189-2";1;100;569;1486;"P";69;TRUE;1;"FGz";484,324566212344;513,303328065236;1,05983335117506;"G12"
12;40104;"189-2";1;100;539;1486;"P";69;TRUE;1;"FGz";484,324566212344;513,303328065236;1,05983335117506;"G12"
13;40105;"189-2";1;100;569;1486;"P";69;TRUE;1;"FGz";484,324566212344;513,303328065236;1,05983335117506;"G12"
14;40106;"189-2";1;100;569;1486;"P";69;TRUE;1;"FGz";484,324566212344;513,303328065236;1,05983335117506;"G12"
15;40125;"185-2";1;100;579;1485;"P";70;TRUE;1;"FGz";488,371856631382;513,303328065236;1,05105018050348;"G12"
16;40126;"185-2";1;100;579;1465;"P";70;TRUE;1;"FGz";486,935680191978;513,303328065236;1,05415016591691;"G12"
17;40144;"185-2";1;100;534;1485;"P";75;TRUE;1;"FGz";488,371856631382;513,303328065236;1,05105018050348;"G12"
18;40145;"185-2";1;100;534;1685;"P";75;TRUE;1;"FGz";503,276651688776;513,303328065236;1,01992279264857;"G12"
19;40184;"185-2";1;100;569;1465;"P";75;TRUE;1;"FGz";486,935680191978;513,303328065236;1,05415016591691;"G12"
20;40185;"185-2";1;100;569;1485;"P";75;FALSE;1;"FGz";488,371856631382;513,303328065236;1,05105018050348;"G12"
21;40200;"189-2";1;100;594;1486;"P";70;TRUE;1;"FGz";484,324566212344;513,303328065236;1,05983335117506;"G12"
22;40215;"145-2";1;100;593;1380;"P";75;FALSE;1;"FGz";491,490930467792;513,303328065236;1,04438006124891;"G12"
23;40216;"145-2";1;100;593;1480;"P";75;TRUE;1;"FGz";500,428787627323;659,847857745824;1,31856494682161;"s90"
24;40221;"189-2";1;100;594;1686;"P";70;TRUE;1;"FGz";498,07686857548;513,303328065236;1,03057050116241;"G12"
25;40234;"185-2";1;100;619;1465;"P";75;TRUE;1;"GzG";486,935680191978;513,303328065236;1,05415016591691;"G12"
26;40235;"185-2";1;100;619;1885;"G";68;TRUE;1;"GzG";549,087623545267;659,847857745824;1,20171686530725;"s90"
27;40240;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz";484,035282184807;513,303328065236;1,06046676132434;"G12"
28;40241;"Re 482-2";1;100;594;1684;"P";70;TRUE;1;"FGz";498,134981040961;513,303328065236;1,0304502747279;"G12"
29;40244;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz";484,035282184807;513,303328065236;1,06046676132434;"G12"
30;40245;"Re 482-2";1;100;594;1684;"P";70;TRUE;1;"FGz";498,134981040961;513,303328065236;1,0304502747279;"G12"
31;40247;"Re 482-2";1;100;594;1684;"P";70;TRUE;1;"FGz";498,134981040961;513,303328065236;1,0304502747279;"G12"
32;40252;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz";484,035282184807;513,303328065236;1,06046676132434;"G12"
33;40260;"Re 482-2";1;100;529;1484;"P";70;TRUE;1;"Gz";484,035282184807;513,303328065236;1,06046676132434;"G12"
34;40261;"Re 482-2";1;100;529;1684;"P";70;TRUE;1;"FGz";498,134981040961;513,303328065236;1,0304502747279;"G12"
35;40276;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz";484,035282184807;513,303328065236;1,06046676132434;"G12"
36;40290;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz";484,035282184807;513,303328065236;1,06046676132434;"G12"
37;40291;"Re 482-2";1;100;594;1684;"P";70;TRUE;1;"FGz";498,134981040961;513,303328065236;1,0304502747279;"G12"
38;40421;"4370-1";1;100;619;1490;"P";80;TRUE;1;"FGz";495,415155619233;513,303328065236;1,0361074388684;"G12"
39;40424;"4370-1";1;100;619;1490;"P";75;TRUE;1;"FGz";495,415155619233;513,303328065236;1,0361074388684;"G12"
40;41051;"185-2";1;100;569;1685;"P";70;TRUE;1;"FGz";503,276651688776;513,303328065236;1,01992279264857;"G12"
41;41052;"185-2";1;100;569;1485;"P";70;TRUE;1;"FGz";488,371856631382;513,303328065236;1,05105018050348;"G12"
42;41082;"189-2";1;100;570;1466;"P";78;TRUE;1;"FGz";482,989202279285;513,303328065236;1,0627635683011;"G12"
43;41083;"189-2";1;100;569;1486;"P";78;TRUE;1;"FGz";484,324566212344;513,303328065236;1,05983335117506;"G12"
44;41600;"145-2";1;100;573;1380;"P";71;TRUE;1;"FGz";491,490930467792;513,303328065236;1,04438006124891;"G12"
45;41603;"145-2";1;100;573;1680;"P";70;TRUE;1;"FGz";520,48741575077;659,847857745824;1,26774987786023;"s90"
46;41665;"185-2";1;100;619;1885;"G";68;TRUE;1;"GzG";549,087623545267;659,847857745824;1,20171686530725;"s90"
47;41666;"185-2";1;100;619;1465;"P";75;TRUE;1;"FGz";486,935680191978;513,303328065236;1,05415016591691;"G12"
48;42006;"145-2";1;100;593;1380;"P";70;TRUE;1;"FGz";491,490930467792;513,303328065236;1,04438006124891;"G12"
49;42014;"189-2";1;100;574;1486;"P";85;TRUE;1;"FGz";484,324566212344;513,303328065236;1,05983335117506;"G12"
50;42017;"145-2";1;100;593;1680;"P";70;FALSE;1;"FGz";520,48741575077;659,847857745824;1,26774987786023;"s90"
51;42018;"145-2";1;100;593;1380;"P";70;TRUE;1;"FGz";491,490930467792;513,303328065236;1,04438006124891;"G12"
52;42021;"145-2";1;100;593;1680;"P";70;FALSE;1;"FGz";520,48741575077;659,847857745824;1,26774987786023;"s90"
53;42027;"145-2";1;100;593;1680;"P";70;TRUE;1;"FGz";520,48741575077;659,847857745824;1,26774987786023;"s90"
54;42028;"145-2";1;100;593;1380;"P";70;TRUE;1;"FGz";491,490930467792;513,303328065236;1,04438006124891;"G12"
55;42066;"Re 482-2";1;100;539;1484;"P";70;TRUE;1;"FGz";484,035282184807;513,303328065236;1,06046676132434;"G12"
56;42067;"Re 482-2";1;100;539;1684;"P";70;TRUE;1;"FGz";498,134981040961;513,303328065236;1,0304502747279;"G12"
